Timestamp,Distance (mm)
2024-05-27 14:09:43,149
2024-05-27 14:09:45,148
2024-05-27 14:09:47,148
2024-05-27 14:09:49,149
2024-05-27 14:09:51,148
2024-05-27 14:09:53,151
2024-05-27 14:09:55,148
2024-05-27 14:09:57,148
2024-05-27 14:09:59,150
2024-05-27 14:10:01,148
2024-05-27 14:10:03,149
2024-05-27 14:10:05,146
2024-05-27 14:10:07,147
2024-05-27 14:10:09,145
2024-05-27 14:10:11,148
2024-05-27 14:10:13,149
2024-05-27 14:10:15,150
2024-05-27 14:10:17,148
2024-05-27 14:10:19,147
2024-05-27 14:10:21,148
2024-05-27 14:10:23,151
2024-05-27 14:10:25,149
2024-05-27 14:10:27,151
2024-05-27 14:10:29,149
2024-05-27 14:10:31,148
2024-05-27 14:10:33,149
2024-05-27 14:10:35,150
2024-05-27 14:10:37,151
2024-05-27 14:10:39,150
2024-05-27 14:10:41,152
2024-05-27 14:10:43,151
2024-05-27 14:10:45,149
2024-05-27 14:10:47,147
2024-05-27 14:10:49,149
2024-05-27 14:10:51,150
2024-05-27 14:10:53,149
2024-05-27 14:10:55,147
2024-05-27 14:10:57,147
2024-05-27 14:10:59,149
2024-05-27 14:11:01,149
2024-05-27 14:11:03,148
2024-05-27 14:11:05,149
2024-05-27 14:11:07,150
2024-05-27 14:11:09,148
2024-05-27 14:11:11,147
2024-05-27 14:11:13,149
2024-05-27 14:11:15,149
2024-05-27 14:11:17,149
2024-05-27 14:11:19,149
2024-05-27 14:11:21,148
2024-05-27 14:11:23,148
2024-05-27 14:11:25,148
2024-05-27 14:11:27,148
2024-05-27 14:11:29,149
2024-05-27 14:11:31,151
2024-05-27 14:11:33,148
2024-05-27 14:11:35,150
2024-05-27 14:11:37,148
2024-05-27 14:11:39,145
2024-05-27 14:11:41,149
2024-05-27 14:11:43,150
2024-05-27 14:11:45,150
2024-05-27 14:11:47,149
2024-05-27 14:11:49,151
2024-05-27 14:11:51,149
2024-05-27 14:11:53,148
2024-05-27 14:11:55,148
2024-05-27 14:11:57,148
2024-05-27 14:11:59,151
2024-05-27 14:12:01,148
2024-05-27 14:12:03,150
2024-05-27 14:12:05,151
2024-05-27 14:12:07,149
2024-05-27 14:12:09,148
2024-05-27 14:12:11,146
2024-05-27 14:12:13,149
2024-05-27 14:12:15,148
2024-05-27 14:12:17,149
2024-05-27 14:12:19,148
2024-05-27 14:12:21,148
2024-05-27 14:12:23,146
2024-05-27 14:12:25,150
2024-05-27 14:12:27,150
2024-05-27 14:12:29,149
2024-05-27 14:12:31,146
2024-05-27 14:12:33,150
2024-05-27 14:12:35,149
2024-05-27 14:12:37,147
2024-05-27 14:12:39,146
2024-05-27 14:12:41,149
2024-05-27 14:12:43,151
2024-05-27 14:12:45,147
2024-05-27 14:12:47,148
2024-05-27 14:12:49,148
2024-05-27 14:12:51,147
2024-05-27 14:12:53,150
2024-05-27 14:12:55,149
2024-05-27 14:12:57,148
2024-05-27 14:12:59,149
2024-05-27 14:13:01,147
2024-05-27 14:13:03,146
2024-05-27 14:13:05,150
2024-05-27 14:13:07,149
2024-05-27 14:13:09,150
2024-05-27 14:13:11,149
2024-05-27 14:13:13,148
2024-05-27 14:13:15,150
2024-05-27 14:13:17,148
2024-05-27 14:13:19,148
2024-05-27 14:13:21,149
2024-05-27 14:13:23,148
2024-05-27 14:13:25,149
2024-05-27 14:13:27,150
2024-05-27 14:13:29,149
2024-05-27 14:13:31,149
2024-05-27 14:13:33,151
2024-05-27 14:13:35,148
2024-05-27 14:13:37,148
2024-05-27 14:13:39,150
2024-05-27 14:13:41,149
2024-05-27 14:13:43,148
2024-05-27 14:13:45,149
2024-05-27 14:13:47,149
2024-05-27 14:13:49,150
2024-05-27 14:13:51,150
2024-05-27 14:13:53,149
2024-05-27 14:13:55,147
2024-05-27 14:13:57,148
2024-05-27 14:13:59,149
2024-05-27 14:14:01,149
2024-05-27 14:14:03,147
2024-05-27 14:14:05,149
2024-05-27 14:14:07,150
2024-05-27 14:14:09,147
2024-05-27 14:14:11,147
2024-05-27 14:14:13,147
2024-05-27 14:14:15,150
2024-05-27 14:14:17,147
2024-05-27 14:14:19,148
2024-05-27 14:14:21,147
2024-05-27 14:14:23,147
2024-05-27 14:14:25,152
2024-05-27 14:14:27,148
2024-05-27 14:14:29,149
2024-05-27 14:14:31,151
2024-05-27 14:14:33,148
2024-05-27 14:14:35,148
2024-05-27 14:14:37,151
2024-05-27 14:14:39,149
2024-05-27 14:14:41,150
2024-05-27 14:14:43,148
2024-05-27 14:14:45,147
2024-05-27 14:14:47,149
2024-05-27 14:14:49,148
2024-05-27 14:14:51,151
2024-05-27 14:14:53,149
2024-05-27 14:14:55,148
2024-05-27 14:14:57,146
2024-05-27 14:14:59,149
2024-05-27 14:15:01,147
2024-05-27 14:15:03,148
2024-05-27 14:15:05,149
2024-05-27 14:15:07,147
2024-05-27 14:15:09,149
2024-05-27 14:15:11,148
2024-05-27 14:15:13,151
2024-05-27 14:15:15,147
2024-05-27 14:15:17,147
2024-05-27 14:15:19,149
2024-05-27 14:15:21,147
2024-05-27 14:15:23,147
2024-05-27 14:15:25,149
2024-05-27 14:15:27,146
2024-05-27 14:15:29,148
2024-05-27 14:15:31,149
2024-05-27 14:15:33,148
2024-05-27 14:15:35,149
2024-05-27 14:15:37,150
2024-05-27 14:15:39,147
2024-05-27 14:15:41,148
2024-05-27 14:15:43,150
2024-05-27 14:15:45,147
2024-05-27 14:15:47,151
2024-05-27 14:15:49,149
2024-05-27 14:15:51,148
2024-05-27 14:15:53,147
2024-05-27 14:15:55,150
2024-05-27 14:15:57,150
2024-05-27 14:15:59,148
2024-05-27 14:16:01,148
2024-05-27 14:16:03,150
2024-05-27 14:16:05,150
2024-05-27 14:16:07,151
2024-05-27 14:16:09,148
2024-05-27 14:16:11,149
2024-05-27 14:16:13,148
2024-05-27 14:16:15,146
2024-05-27 14:16:17,150
2024-05-27 14:16:19,148
2024-05-27 14:16:21,150
2024-05-27 14:16:23,148
2024-05-27 14:16:25,147
2024-05-27 14:16:27,149
2024-05-27 14:16:29,148
2024-05-27 14:16:31,150
2024-05-27 14:16:33,148
2024-05-27 14:16:35,150
2024-05-27 14:16:37,147
2024-05-27 14:16:39,149
2024-05-27 14:16:41,149
2024-05-27 14:16:43,148
2024-05-27 14:16:45,149
2024-05-27 14:16:47,150
2024-05-27 14:16:49,148
